序号,收寄省,收寄市,寄达省,寄达市,线路,高德里程,四象限线路类型,线路类别,特快标准（T+N）,行业时效产品80%时限水平（T+N),特快标准对比行业80%邮件时限水平,特快标准对比行业时限众数,快包标准（T+N）,行业非时效产品80%时限水平（T+N),快包标准对比行业非时效80%邮件时限水平,快包标准对比行业时限众数,行业线路时限众数,特快经转节点数,行业经转节点数,经转次数差异,特快专递样本量（件）,特快主要轨迹,行业主要轨迹,投递天数差（特快-行业）,特快专递全程时限（小时）,特快专递全程时限环比（11月-10月）（小时）,行业全程时限（小时）,行业全程时限环比（11月-10月）（小时）,特快专递次日递率,特快专递次日递率环比（11月-10月）,行业次日递率,行业次日递率环比（11月-10月）,特快专递平均天数T+N（天）,特快专递平均天数T+N环比（11月-10月）（天）,行业平均天数T+N（天）,行业平均天数T+N环比（11月-10月）（天）,特快专递收寄时限（小时）,特快专递收寄时限环比（11月-10月）（小时）,特快专递出口段时限（小时）,特快专递出口段时限环比（11月-10月）（小时）,特快专递中转段时限（小时）,特快专递中转段时限环比（11月-10月）（小时）,特快专递进口段时限（小时）,特快专递进口段时限环比（11月-10月）（小时）,特快专递投递时限（小时）,特快专递投递时限环比（11月-10月）（小时）,行业样本量（件）,行业收寄时限（小时）,行业出口段时限（小时）,行业中转段时限（小时）,行业进口段时限（小时）,行业投递时限（小时）,次日递率差（排序时限）（特快-行业）,国家邮政局50重点城市,长三角,珠三角,环渤海,长珠互寄,东三省,中部四省,川渝,行业2025年9月日均业务量估算值（件）,邮政日均业务量,是否够量市场线路
1,江苏省,盐城市,山东省,东营市,盐城市东营市,564,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.7,3,0.7,564,盐城市-济南市-东营市,盐城市-连云港市-滨州市-东营市,1.2,50.5,-0.7,24.6,-4.2,0.00%,-0.40%,100.00%,22.40%,T+2.2,0,T+1.0,-0.2,2.3,0.2,13.7,-1.1,8.3,-0.6,22.6,0.7,3.7,0.2,39,2.7,11.6,5.9,3.1,1.2,-100.00%,,,,,,,,,100,27,
2,江苏省,张家港市,山东省,枣庄市,张家港市枣庄市,579,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.2,3.4,0.8,520,张家港市-无锡市-临沂市-枣庄市,张家港市-常熟市-连云港市-枣庄市,1.1,48,-2.5,23.4,-1.1,0.00%,0.00%,100.00%,7.10%,T+2.1,-0.1,T+1.0,-0.1,2,0,12,-2.2,8.2,-0.9,21.4,0.6,4.4,-0.1,53,2.5,13.1,3.9,2.1,1.8,-100.00%,,,,,,,,,100,18,
3,河南省,漯河市,山西省,晋城市,漯河市晋城市,291,-,省际,2,1,落后,落后,2,1,落后,落后,1,5.3,2.2,3.1,71,漯河市-郑州市-太原市-晋城市,漯河市-晋城市,1,48.9,0.1,19.6,-2.1,0.00%,0.00%,100.00%,0.00%,T+2.0,0,T+1.0,0,0.8,-0.4,9.7,-3.2,7.9,-0.2,24.9,2.3,5.5,1.6,144,3.1,3.9,4.8,4.7,3.1,-100.00%,,,,,,,,,200,2,
4,江苏省,淮安市,山东省,日照市,淮安市日照市,244,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.8,3,0.8,405,淮安市-青岛市-日照市,淮安市-连云港市-日照市,1.1,49.2,2.7,20.4,-4.6,0.00%,-4.40%,100.00%,7.90%,T+2.1,0.1,T+1.0,-0.1,2.9,0.1,10.7,1.7,6.6,-0.2,24.9,0.6,4.1,0.6,101,2.2,10.8,2.9,2.6,1.9,-100.00%,,,,,,,,,300,15,
5,广西壮族自治区,来宾市,广东省,珠海市,来宾市珠海市,603,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1,3.2,0.9,35,来宾市-南宁市-中山市-珠海市,来宾市-柳州市-广州市-珠海市,1.4,55.6,,24.1,,0.00%,,100.00%,,T+2.4,,T+1.0,,3.5,,17.3,,9.2,,19.5,,6.1,,34,3.4,4.7,7.5,6.5,2,-100.00%,,,,,,,,,20,2,
6,黑龙江省,大庆市,辽宁省,抚顺市,大庆市抚顺市,635,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.2,2.9,1.3,66,大庆市-哈尔滨市-沈阳市-抚顺市,大庆市-哈尔滨市-沈阳市-抚顺市,1.7,60.7,,24.8,,0.00%,,100.00%,,T+2.7,,T+1.0,,7.7,,13.3,,9.5,,24.8,,5.4,,39,2.2,7.4,8.3,5,1.9,-100.00%,,,,,,1,,,40,2,
7,河南省,信阳市,安徽省,宿州市,信阳市宿州市,473,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.6,3.9,0.7,131,信阳市-驻马店市-合肥市-宿州市,信阳市-合肥市-宿州市,1.6,61.7,,24.9,,0.00%,,100.00%,,T+2.6,,T+1.0,,8.3,,18.1,,12.6,,19.7,,2.9,,32,1.8,6.9,4.5,10.3,1.5,-100.00%,,,,,,,,,100,8,
8,江苏省,连云港市,山东省,威海市,连云港市威海市,500,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.6,2.8,0.8,551,连云港市-济南市-威海市,连云港市-潍坊市-威海市,1.1,49.1,0.3,27.1,-1.3,0.00%,0.00%,99.90%,10.90%,T+2.1,0,T+1.0,-0.1,1.8,0.1,10.6,0.5,6.1,-0.6,26,0.3,4.5,0,781,2.3,4.3,6.9,12,1.6,-99.90%,,,,,,,,,"1,100",48,1
9,江苏省,连云港市,山东省,日照市,连云港市日照市,118,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.3,2.8,1.5,440,连云港市-济南市-青岛市-日照市,连云港市-潍坊市-日照市,1.2,51.4,-2.2,26,0.2,0.00%,0.00%,99.20%,1.60%,T+2.2,-0.1,T+1.0,0,1.5,-0.4,11.8,0.1,5,-1.1,28.8,-1.4,4.2,0.5,376,2.4,4.5,6.1,11.2,1.8,-99.20%,,,,,,,,,600,31,
10,河北省,秦皇岛市,辽宁省,葫芦岛市,秦皇岛市葫芦岛市,150,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4,2.5,1.5,"3,192",秦皇岛市-北京市-沈阳市-葫芦岛市,秦皇岛市-葫芦岛市,1.4,55.2,-0.8,22.6,-3.3,1.00%,-0.30%,100.00%,12.20%,T+2.4,0,T+1.0,-0.1,1.4,-0.2,4.1,-0.1,14.6,0.5,29.3,0.8,5.9,-1.7,42,2.4,6.3,5.2,6.5,2.2,-99.00%,,,,,,,,,100,118,1
